,experiment,messageReceived,messageDuplicated,graft,prune,iwant,ihave
0,385,338415.0,46100.0,1437.0,180.0,12.0,56795.0
1,386,959077.0,127709.0,1468.0,239.0,34.0,161937.0
2,389,106497.0,18224.0,0.0,0.0,9.0,37316.0
3,390,2473589.0,342351.0,1497.0,222.0,26.0,172331.0
4,391,1681977.0,242460.0,1537.0,125.0,17.0,109756.0
5,392,1379082.0,130115.0,2129.0,0.0,2.0,25169.0
6,393,1948016.0,192998.0,2138.0,0.0,0.0,2278.0
7,394,1843504.0,164486.0,2137.0,0.0,1.0,4868.0
8,395,687571.0,64290.0,2132.0,0.0,0.0,2182.0
9,396,1428674.0,140085.0,2141.0,0.0,1.0,3515.0
10,397,1428254.0,124371.0,2138.0,0.0,0.0,792.0
11,398,141417.0,12794.0,0.0,0.0,0.0,0.0
12,402,289177.0,90791.0,1227.0,42.0,11.0,45400.0
13,403,426701.0,108038.0,1378.0,316.0,24.0,98309.0
14,404,762906.0,156136.0,1387.0,135.0,12.0,71454.0
15,405,1490947.0,305831.0,1603.0,524.0,0.0,83078.0
16,406,1778309.0,351875.0,1469.0,308.0,46.0,141786.0
17,407,302551.0,58460.0,8.0,8.0,7.0,29853.0
18,411,195603.0,73853.0,2148.0,0.0,0.0,0.0
19,412,495753.0,129446.0,2151.0,0.0,0.0,0.0
20,413,870750.0,151214.0,2136.0,0.0,2.0,4869.0
21,414,1273122.0,158501.0,2132.0,0.0,4.0,14506.0
22,415,1820861.0,210787.0,2130.0,0.0,1.0,8199.0
23,416,1998816.0,205431.0,2134.0,0.0,0.0,9774.0
24,417,2197851.0,215734.0,2137.0,0.0,0.0,6470.0
25,418,1579877.0,178030.0,2139.0,0.0,2.0,5831.0
26,419,2013329.0,198723.0,1819.0,0.0,14.0,8629.0
27,420,1566187.0,176832.0,2134.0,0.0,2.0,7496.0
28,421,1957411.0,217007.0,2138.0,0.0,1.0,9194.0
29,422,1403173.0,171535.0,1500.0,0.0,35.0,155654.0
30,423,1019346.0,120051.0,1436.0,0.0,42.0,140065.0
31,424,745475.0,97383.0,1464.0,0.0,36.0,104359.0
32,425,1008492.0,108908.0,1777.0,14.0,23.0,185785.0
33,426,1440218.0,137453.0,1739.0,28.0,26.0,133297.0
34,427,1146216.0,114278.0,1752.0,28.0,25.0,95194.0
35,432,0.0,10.0,0.0,0.0,0.0,0.0
36,434,1338.0,1765.0,2070.0,0.0,0.0,2.0
37,435,16011.0,14146.0,2132.0,0.0,0.0,0.0
38,436,369933.0,102174.0,2128.0,0.0,0.0,0.0
39,437,1268845.0,205555.0,1888.0,0.0,11.0,79433.0
40,438,687481.0,119873.0,1917.0,16.0,5.0,17858.0
41,439,1541024.0,205727.0,1815.0,1.0,20.0,105559.0
42,440,726250.0,96229.0,1822.0,14.0,13.0,108464.0
43,441,1262784.0,157557.0,1689.0,0.0,26.0,126771.0
44,442,1708560.0,220485.0,1734.0,0.0,31.0,179182.0
45,447,1019437.0,145272.0,321.0,93.0,28.0,141750.0
46,448,1136304.0,162321.0,297.0,33.0,18.0,145200.0
47,449,1295758.0,124796.0,471.0,45.0,25.0,191383.0
48,450,1694017.0,125597.0,471.0,59.0,24.0,218402.0
49,451,1846117.0,142697.0,432.0,22.0,40.0,230620.0
50,452,1694951.0,116262.0,466.0,0.0,18.0,64340.0
51,453,2555384.0,163887.0,477.0,6.0,3.0,60767.0
52,454,3116919.0,200319.0,464.0,23.0,20.0,90616.0
53,455,1126041.0,72101.0,0.0,0.0,4.0,33324.0
54,456,0.0,2.0,0.0,0.0,0.0,0.0
55,458,14276.0,3869.0,231.0,49.0,0.0,6738.0
56,459,123319.0,29705.0,273.0,85.0,6.0,40446.0
57,460,233695.0,59934.0,260.0,80.0,12.0,62316.0
58,461,384026.0,80689.0,332.0,128.0,8.0,40464.0
59,462,537968.0,101528.0,251.0,23.0,1.0,30437.0
60,463,348588.0,67463.0,309.0,105.0,10.0,55042.0
61,464,77100.0,15917.0,3.0,0.0,0.0,27633.0
62,468,289449.0,38527.0,544.0,0.0,1.0,4.0
63,469,393803.0,45441.0,538.0,0.0,0.0,6.0
64,470,322579.0,38372.0,486.0,0.0,4.0,5891.0
65,471,862300.0,87298.0,473.0,47.0,31.0,107019.0
66,472,987736.0,83127.0,459.0,0.0,13.0,78116.0
67,473,1088732.0,87841.0,475.0,5.0,11.0,78216.0
68,474,1183795.0,99213.0,472.0,52.0,15.0,156105.0
69,475,1687117.0,117578.0,477.0,4.0,24.0,139600.0
70,476,1726008.0,122104.0,462.0,45.0,18.0,167692.0
71,477,1357420.0,100830.0,440.0,0.0,12.0,72377.0
72,478,1334657.0,107731.0,462.0,66.0,18.0,156986.0
73,479,849713.0,90901.0,283.0,1.0,38.0,238103.0
74,480,759352.0,90637.0,306.0,20.0,26.0,284344.0
75,481,525189.0,63767.0,274.0,0.0,27.0,310742.0
76,482,1081522.0,111533.0,338.0,30.0,38.0,333204.0
77,483,1521752.0,159108.0,314.0,31.0,52.0,361874.0
78,484,1251302.0,128834.0,331.0,29.0,56.0,291225.0
79,485,211644.0,21963.0,0.0,0.0,6.0,51493.0
80,492,6058.0,4004.0,467.0,7.0,1.0,41.0
81,493,47089.0,12142.0,498.0,82.0,0.0,406.0
82,494,90768.0,21229.0,327.0,0.0,5.0,20.0
83,495,220124.0,34605.0,396.0,30.0,0.0,4505.0
84,496,333799.0,43223.0,390.0,2.0,5.0,24354.0
85,497,361397.0,45352.0,398.0,37.0,3.0,39901.0
86,498,440301.0,54735.0,381.0,4.0,2.0,38411.0
87,499,457832.0,55672.0,399.0,46.0,6.0,32462.0
88,500,149429.0,17484.0,0.0,0.0,1.0,7728.0
89,504,970967.0,141545.0,1480.0,213.0,26.0,237868.0
90,505,3049420.0,405100.0,1413.0,146.0,16.0,198093.0
91,506,2837856.0,403040.0,1531.0,257.0,23.0,181474.0
92,507,2365995.0,333689.0,1547.0,316.0,16.0,198183.0
93,508,1442660.0,129679.0,2127.0,0.0,0.0,23851.0
94,509,2049167.0,157931.0,2114.0,0.0,2.0,3249.0
95,510,1656353.0,135478.0,2123.0,0.0,2.0,10329.0
96,511,237418.0,19911.0,2126.0,0.0,1.0,1057.0
97,512,2572194.0,199414.0,2052.0,0.0,1.0,651.0
98,513,2432321.0,194907.0,2111.0,0.0,6.0,6102.0
99,514,121648.0,10075.0,0.0,0.0,0.0,568.0
100,516,0.0,13.0,0.0,0.0,0.0,0.0
101,517,22566.0,15269.0,1320.0,45.0,9.0,470.0
102,518,639612.0,144442.0,1272.0,164.0,34.0,102639.0
103,519,640446.0,156307.0,1205.0,56.0,29.0,201563.0
104,520,1726028.0,368668.0,1357.0,115.0,27.0,98856.0
105,521,2222577.0,447567.0,1438.0,243.0,34.0,109272.0
106,522,1920382.0,374297.0,1600.0,494.0,49.0,188047.0
107,523,180903.0,34178.0,0.0,0.0,0.0,16746.0
108,526,49066.0,41863.0,2017.0,0.0,0.0,0.0
109,527,416589.0,124114.0,2039.0,0.0,0.0,0.0
110,528,1812299.0,250617.0,2146.0,0.0,0.0,0.0
111,529,1621927.0,220326.0,2124.0,0.0,0.0,10.0
112,530,1551579.0,175972.0,2137.0,0.0,0.0,8296.0
113,531,1283258.0,141187.0,2119.0,0.0,3.0,31617.0
114,532,2329991.0,202816.0,2114.0,0.0,3.0,8829.0
115,533,2553274.0,199397.0,2131.0,0.0,3.0,7460.0
116,534,2389826.0,205506.0,2134.0,0.0,3.0,7032.0
117,535,2784400.0,247299.0,2075.0,0.0,0.0,864.0
118,536,1051010.0,85252.0,2127.0,0.0,1.0,4925.0
119,537,1864345.0,146327.0,2123.0,0.0,0.0,1731.0
120,538,1750506.0,225727.0,1505.0,0.0,40.0,205516.0
121,539,1177582.0,145377.0,1416.0,18.0,69.0,169751.0
122,540,924295.0,125666.0,1522.0,0.0,32.0,122875.0
123,541,1070846.0,123503.0,1732.0,0.0,26.0,136430.0
124,542,854940.0,98991.0,1721.0,0.0,17.0,96854.0
125,550,87551.0,46065.0,2134.0,0.0,0.0,8.0
126,551,282223.0,95665.0,2135.0,0.0,0.0,2.0
127,552,428165.0,119192.0,2133.0,0.0,0.0,8.0
128,553,299541.0,94659.0,1874.0,0.0,1.0,56.0
129,554,651722.0,145973.0,1811.0,0.0,0.0,119.0
130,555,1313936.0,229268.0,1930.0,15.0,1.0,13871.0
131,556,688170.0,105048.0,1734.0,0.0,12.0,100280.0
132,557,771626.0,122985.0,1779.0,0.0,1.0,25489.0
133,558,1152895.0,152685.0,1814.0,0.0,16.0,66542.0
134,559,96420.0,12440.0,0.0,0.0,1.0,5596.0
135,561,840138.0,113148.0,291.0,19.0,48.0,258718.0
136,562,550478.0,78578.0,282.0,24.0,7.0,116087.0
137,563,998155.0,133186.0,273.0,5.0,20.0,142422.0
138,564,897767.0,124291.0,309.0,17.0,5.0,140731.0
139,565,1814333.0,141270.0,475.0,71.0,27.0,229557.0
140,566,1126423.0,89259.0,465.0,2.0,16.0,123914.0
141,567,1692480.0,120189.0,461.0,37.0,21.0,224255.0
142,568,1465699.0,114684.0,464.0,4.0,1.0,77409.0
143,569,3877132.0,258657.0,465.0,54.0,16.0,123629.0
144,570,4070093.0,262736.0,479.0,37.0,12.0,98975.0
145,571,529134.0,34263.0,7.0,0.0,1.0,12861.0
146,574,80216.0,17558.0,231.0,11.0,6.0,12114.0
147,575,181598.0,46182.0,257.0,71.0,8.0,52148.0
148,576,224723.0,56453.0,230.0,18.0,27.0,56074.0
149,577,218691.0,45835.0,312.0,114.0,2.0,26913.0
150,578,481342.0,91018.0,306.0,84.0,10.0,37118.0
151,579,538200.0,111208.0,348.0,166.0,16.0,159294.0
152,580,55999.0,11544.0,0.0,0.0,0.0,17707.0
153,583,2685.0,3248.0,511.0,0.0,0.0,6.0
154,584,24885.0,10051.0,535.0,0.0,0.0,16.0
155,585,39067.0,12071.0,433.0,0.0,0.0,0.0
156,586,260534.0,37193.0,473.0,39.0,0.0,1140.0
157,587,299392.0,35611.0,477.0,5.0,3.0,18585.0
158,588,643426.0,71941.0,468.0,56.0,16.0,103875.0
159,589,540343.0,47219.0,474.0,48.0,10.0,208227.0
160,590,896000.0,86077.0,473.0,70.0,24.0,146246.0
161,591,1898394.0,141417.0,488.0,55.0,20.0,155444.0
162,592,497665.0,44642.0,463.0,55.0,14.0,124260.0
163,593,1276905.0,94456.0,473.0,5.0,12.0,129084.0
164,594,2037600.0,150936.0,478.0,74.0,40.0,243997.0
165,595,1133735.0,126462.0,274.0,0.0,50.0,332558.0
166,596,1310244.0,144854.0,280.0,18.0,42.0,353590.0
167,597,866856.0,94783.0,270.0,0.0,20.0,194028.0
168,598,717564.0,72027.0,371.0,7.0,11.0,198275.0
169,599,811838.0,82939.0,336.0,44.0,35.0,313573.0
170,600,1335319.0,132764.0,343.0,43.0,47.0,319670.0
171,601,85220.0,8969.0,0.0,0.0,9.0,22238.0
172,607,1275.0,1774.0,464.0,6.0,3.0,40.0
173,608,2602.0,3039.0,469.0,59.0,0.0,185.0
174,609,3339.0,2099.0,460.0,2.0,0.0,25.0
175,610,91100.0,17770.0,396.0,70.0,0.0,1341.0
176,611,235553.0,31861.0,366.0,0.0,0.0,16205.0
177,612,488215.0,58416.0,405.0,72.0,0.0,25890.0
178,613,305800.0,43103.0,370.0,64.0,28.0,75453.0
179,614,672376.0,80242.0,384.0,54.0,30.0,170836.0
180,615,878773.0,94054.0,355.0,1.0,33.0,174195.0
181,616,40016.0,3907.0,0.0,0.0,0.0,6041.0
182,618,3599579.0,517024.0,1480.0,252.0,31.0,232204.0
183,619,2326911.0,187478.0,2128.0,0.0,5.0,17041.0
184,620,2990158.0,228998.0,2084.0,0.0,5.0,6993.0
185,621,2861179.0,260940.0,2136.0,0.0,1.0,4409.0
186,622,614793.0,61727.0,1932.0,0.0,0.0,0.0
187,623,2047007.0,160896.0,2142.0,0.0,2.0,386.0
188,624,2980593.0,265412.0,2124.0,0.0,0.0,7492.0
189,625,246347.0,21609.0,1.0,0.0,0.0,576.0
190,628,95882.0,43166.0,1286.0,278.0,0.0,7627.0
191,629,501815.0,137591.0,1170.0,35.0,13.0,106816.0
192,630,390168.0,114918.0,1256.0,374.0,29.0,72479.0
193,631,1227274.0,239949.0,1487.0,195.0,7.0,83559.0
194,632,971535.0,198422.0,1545.0,495.0,38.0,93139.0
195,633,1829890.0,394807.0,1297.0,159.0,6.0,203481.0
196,634,139878.0,30163.0,0.0,0.0,0.0,17419.0
197,637,8264.0,13406.0,2106.0,0.0,0.0,0.0
198,638,128178.0,62032.0,1954.0,0.0,0.0,0.0
199,639,624831.0,140562.0,2140.0,0.0,0.0,0.0
200,640,93563.0,20561.0,0.0,0.0,0.0,0.0
201,642,763405.0,114632.0,294.0,12.0,6.0,310227.0
202,643,1061574.0,93930.0,478.0,56.0,72.0,356889.0
203,644,1090898.0,90203.0,487.0,3.0,42.0,276795.0
204,645,1027215.0,94678.0,470.0,50.0,39.0,418386.0
205,646,1631303.0,123439.0,477.0,1.0,36.0,163413.0
206,647,1122011.0,109736.0,481.0,71.0,0.0,217902.0
207,652,55960.0,17143.0,241.0,83.0,15.0,113466.0
208,653,329302.0,86484.0,228.0,52.0,24.0,212484.0
209,654,289852.0,84083.0,192.0,18.0,93.0,206334.0
210,655,355050.0,69279.0,302.0,90.0,15.0,124359.0
211,656,690868.0,133026.0,270.0,73.0,45.0,259518.0
212,657,351292.0,70326.0,236.0,36.0,45.0,547323.0
213,658,29993.0,6086.0,0.0,0.0,0.0,68649.0
214,661,48864.0,7813.0,548.0,0.0,0.0,6.0
215,662,678236.0,67489.0,541.0,0.0,0.0,36.0
216,663,897920.0,81701.0,539.0,0.0,3.0,6.0
217,664,123227.0,11093.0,0.0,0.0,0.0,0.0
