,identifier,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,n_nodes,consensus,propagationTime,stddev_propagationTime,messageOverhead,stddev_messageOverhead,bandwidth,stddev_bandwidth,
0,0,unl,8,6,12,4,8,2,0.25,1,24,3.02287183815237,2149.21602517093,257.421035439494,1262081.5,255305.853094871,1830.48955883577,359.006195194189,reference
1,3,unl,8,6,12,4,8,2,0.25,3,24,3.02647139095481,2160.13310690792,126.586884588903,1220458,107468.917031856,1606.16963892348,164.054457296518,informed
2,6,unl,16,8,20,16,8,4,0.5,1,24,3.02753659174196,2008.63669922268,159.608145593883,991947.5,137230.334345217,1299.75517972562,158.108943592659,informed0
3,12,unl,16,8,20,16,8,4,0.5,0.5,24,3.07391724122137,6674.95366718852,0,388920,0,621.536311304406,0,informed2
4,13,unl,6,4,8,2,2,2,0.25,1,24,3.03880823502649,3089.49782450449,259.14343487398,859426.5,79732.6535398139,1362.59634258518,129.110750196527,informed3
5,18,unl,6,4,8,2,2,4,0.25,0.5,24,3.01439465409247,2097.29722541242,201.000893392521,391164.5,201636.448402812,592.199165818511,264.336884480714,informed5
6,21,unl,20,16,24,8,16,8,0.5,1,24,3.02990422244937,2013.59737939529,287.651371747596,1063446,33021.8866814118,1429.53581400148,68.2959280974751,informed6
7,23,unl,16,8,20,4,8,2,0.5,1,24,3.02101915986042,2353.42049635146,316.162060757109,1347907.5,95037.2727118156,1784.60728051305,125.436691790445,informed7
8,27,unl,16,8,20,8,8,4,0.25,1,24,3.02570390200348,1903.03159749119,0,952511,0,1281.48537760314,0,informed8
9,29,unl,16,8,20,4,8,2,0.25,1,24,3.04411620206269,1963.3332170289,48.432417056281,809796.5,45515.7563981969,1166.50867755737,67.7574192251769,random1
10,32,unl,8,6,16,4,8,2,0.25,1,24,3.04855855303327,2100.55658899739,0,1101182,0,1514.8350872215,0,random2
11,36,unl,8,6,16,4,8,2,0.25,0.25,24,3.05563736295827,1887.4849047548,316.719541974672,444679.5,371834.22220729,670.132830989249,519.859165888284,random5
12,39,unl,16,8,20,6,8,2,0.25,1,24,3.03348651554605,1894.8311582901,0,961705,0,1371.55009419548,0,random6
13,42,unl,10,8,16,4,8,4,0.25,1,24,3.05728454535775,1799.96375386797,0,1260080,0,1819.57539137696,0,random7
14,43,general,8,6,12,4,8,2,0.25,1,24,3.02729610326264,1464.15300500634,36.5694139222273,510204.5,2633.97275991989,763.566052781555,1.84137775629585,reference
15,47,general,8,6,12,4,8,2,0.25,3,24,3.03857223946037,1358.04246622901,0,962810,0,1300.48488469593,0,informed
16,49,general,16,8,20,16,8,4,0.5,1,24,3.02293355913157,1598.5760649873,401.428545324722,1251066.5,195548.259016796,1585.22403032779,251.40239290042,informed0
17,54,general,16,8,20,16,8,4,0.5,0.5,24,3.02044716769075,1595.13010349818,106.840541472955,148231.5,42640.6602258924,251.275956789994,51.3104946114205,informed2
18,56,general,6,4,8,2,2,2,0.25,1,24,3.01898090358771,2616.89963854797,235.104972046986,183178.5,75939.7327655293,290.453164068876,107.53849635822,informed3
19,61,general,6,4,8,2,2,4,0.25,0.5,24,3.02805072085344,1691.67132342919,0,161813,0,219.555508482613,0,informed5
20,63,general,20,16,24,8,16,8,0.5,1,24,3.0251901139819,1502.9386758036,141.510702571094,460779.5,31181.2877299832,629.174079423608,19.0248745741873,informed6
21,67,general,16,8,20,4,8,2,0.5,1,24,3.02290208467313,1976.88143675648,41.4433531560698,869609,57752.2392466301,1142.0250999501,58.9031090784651,infiormed7
22,69,general,16,8,20,8,8,4,0.25,1,24,3.02276428273899,1929.91650320116,513.991946469637,635603.5,7907.57513400916,848.420513022575,39.4822099624553,informed8
23,72,general,16,8,20,4,8,2,0.25,1,24,3.01993101860958,1830.49663879496,343.026641050644,496748.5,140378.373735059,758.272465959284,181.221051558721,random1
24,75,general,8,6,16,4,8,2,0.25,1,24,3.02950151951507,1533.97336674218,10.7017996030403,704585.5,110957.07478345,1034.05590485438,160.16497349104,random2
25,80,general,8,6,16,4,8,2,0.25,0.25,24,3.02778635080063,2917.73900323689,675.095370035077,33572,11346.2354109193,54.560679586136,17.6978049618416,random5
26,83,general,16,8,20,6,8,2,0.25,1,24,3.05327180038146,1530.80008867337,554.356186185684,155798.5,11887.1720985271,224.660774869966,19.1532030314661,random6
27,85,general,10,8,16,4,8,4,0.25,1,24,3.02354831010789,1093.37097646678,56.073861295749,199819.5,2297.38993207509,284.20717158746,2.88418853527851,random7
,,,,,,,,,,,,3.03217452104485,0.0109604659037389,,,,,,
,Didnâ€™t execute:,,,,,,,,,,,,,,,,,,
,,,16,8,20,16,8,4,0.5,3,informed1,,,,parameter,,minimum,,maximum
,,,6,4,8,2,2,4,0.25,3,informed4,,,,d,,6,,20
,,,10,8,16,4,8,2,0.25,1,random3,,,,dlo,,4,,16
,,,16,8,20,4,8,2,0.25,0.5,random4,,,,dhi,,8,,24
,,,10,8,16,4,8,2,0.15,1,random8,,,,dscore,,2,,16
,,,,,,,,,,,,,,,dlazy,,2,,16
,,,,,,,,,,,,,,,dout,,2,,8
,,,,,,,,,,,,,,,gossipFactor,,0.25,,0.5
,,,,,,,,,,,,,,,interval,,0.25,,3
